Pathway	Source	Target	p-value	sig	matrix	FDR	UpDown	vsgroup	VSclass	PathwayName	Level2
map00650	OddToed	EvenToed	7.31E-09	**	11821;1265759;2216;270260	8.82E-08	Up-regulation	EvenToed VS OddToed	VS Primary	Butanoate metabolism	Carbohydrate metabolism
map00650	C	Y	-6.60E-10	**	6632;717846;7649;747419	9.03E-09	Down-regulation	Y VS C	VS Primary	Butanoate metabolism	Carbohydrate metabolism
map00650	Bovine	Ovisae	5.83E-08	**	14363;1402062;6725;710035	6.30E-07	Up-regulation	Ovisae VS Bovine	VS Primary	Butanoate metabolism	Carbohydrate metabolism
map00650	S	AN	2.34E-16	**	18369;1931972;11341;1314462	5.91E-15	Up-regulation	AN VS S	VS Primary	Butanoate metabolism	Carbohydrate metabolism
map00633	H	A	8.96E-16	**	427;463720;118;279529	2.18E-14	Up-regulation	A VS H	VS Primary	Nitrotoluene degradation	Xenobiotics biodegradation and metabolism
map00633	C	Y	-5.74E-11	**	397;724081;624;754444	8.94E-10	Down-regulation	Y VS C	VS Primary	Nitrotoluene degradation	Xenobiotics biodegradation and metabolism
map00633	Bovine	Ovisae	-4.67E-05	**	761;1415664;485;716275	0.000337765	Down-regulation	Ovisae VS Bovine	VS Primary	Nitrotoluene degradation	Xenobiotics biodegradation and metabolism
map00633	S	AN	-2.04E-38	**	1131;1949210;1300;1324503	1.49E-36	Down-regulation	AN VS S	VS Primary	Nitrotoluene degradation	Xenobiotics biodegradation and metabolism
map00562	H	A	-4.57E-10	**	1276;462871;998;278649	6.47E-09	Down-regulation	A VS H	VS Primary	Inositol phosphate metabolism	Carbohydrate metabolism
map00562	OddToed	EvenToed	-0.000735517	**	4212;1273368;1006;271470	0.004466127	Down-regulation	EvenToed VS OddToed	VS Primary	Inositol phosphate metabolism	Carbohydrate metabolism
map00562	C	Y	6.96E-08	**	3181;721297;2896;752172	7.35E-07	Up-regulation	Y VS C	VS Primary	Inositol phosphate metabolism	Carbohydrate metabolism
map00562	Bovine	Ovisae	6.79E-07	**	5320;1411105;2392;714368	6.32E-06	Up-regulation	Ovisae VS Bovine	VS Primary	Inositol phosphate metabolism	Carbohydrate metabolism
map00562	Primary	H	0.000534081	**	42;8620;1276;462871	0.003329139	Up-regulation	NA	VS Primary	Inositol phosphate metabolism	Carbohydrate metabolism
map00562	Primary	OddToed	0.010998094	*	42;8620;4212;1273368	0.045906911	Up-regulation	NA	VS Primary	Inositol phosphate metabolism	Carbohydrate metabolism
map00053	OddToed	EvenToed	0.000303989	**	4425;1273155;830;271646	0.001993221	Up-regulation	EvenToed VS OddToed	VS Primary	Ascorbate and aldarate metabolism	Carbohydrate metabolism
map00053	C	Y	0.001200322	**	2737;721741;2625;752443	0.006893457	Up-regulation	Y VS C	VS Primary	Ascorbate and aldarate metabolism	Carbohydrate metabolism
map00982	C	Y	-0.011888066	*	115;724363;159;754909	0.049060673	Down-regulation	Y VS C	VS Primary	Drug metabolism - cytochrome P450	Xenobiotics biodegradation and metabolism
map00330	OddToed	EvenToed	0.000131904	**	7679;1269901;1478;270998	0.000910305	Up-regulation	EvenToed VS OddToed	VS Primary	Arginine and proline metabolism	Amino acid metabolism
map00330	Bovine	Ovisae	-0.003790325	*	8200;1408225;4363;712397	0.019067713	Down-regulation	Ovisae VS Bovine	VS Primary	Arginine and proline metabolism	Amino acid metabolism
map00250	OddToed	EvenToed	2.12E-10	**	17945;1259635;3413;269063	3.10E-09	Up-regulation	EvenToed VS OddToed	VS Primary	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
map00250	Bovine	Ovisae	2.49E-16	**	19458;1396967;8886;707874	6.23E-15	Up-regulation	Ovisae VS Bovine	VS Primary	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
map00250	S	AN	1.35E-05	**	23450;1926891;15264;1310539	0.000105073	Up-regulation	AN VS S	VS Primary	Alanine, aspartate and glutamate metabolism	Amino acid metabolism
map00930	H	A	-0.000568433	**	198;463949;169;279478	0.00353656	Down-regulation	A VS H	VS Primary	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	OddToed	EvenToed	1.14E-05	**	689;1276891;94;272382	8.92E-05	Up-regulation	EvenToed VS OddToed	VS Primary	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	C	Y	2.00E-06	**	363;724115;260;754808	1.76E-05	Up-regulation	Y VS C	VS Primary	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	Bovine	Ovisae	6.23E-06	**	691;1415734;255;716505	5.11E-05	Up-regulation	Ovisae VS Bovine	VS Primary	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	S	AN	0.002990545	*	754;1949587;434;1325369	0.015422199	Up-regulation	AN VS S	VS Primary	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	Primary	EvenToed	0.004644795	*	9;8653;94;272382	0.022604668	Up-regulation	NA	VS Primary	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	Primary	Y	0.003981733	*	9;8653;260;754808	0.019808981	Up-regulation	NA	Inter-group	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	Primary	Ovisae	0.004898184	*	9;8653;255;716505	0.023285868	Up-regulation	NA	Inter-group	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	Primary	S	0.007752872	*	9;8653;754;1949587	0.033912362	Up-regulation	NA	Inter-group	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00930	Primary	AN	0.002781012	*	9;8653;434;1325369	0.014500993	Up-regulation	NA	Inter-group	Caprolactam degradation	Xenobiotics biodegradation and metabolism
map00220	OddToed	EvenToed	0.00159409	**	10531;1267049;2094;270382	0.008890637	Up-regulation	EvenToed VS OddToed	VS Primary	Arginine biosynthesis	Amino acid metabolism
map00220	C	Y	-5.19E-07	**	5602;718876;6383;748685	4.94E-06	Down-regulation	Y VS C	VS Primary	Arginine biosynthesis	Amino acid metabolism
map00220	Bovine	Ovisae	5.65E-07	**	12144;1404281;5686;711074	5.35E-06	Up-regulation	Ovisae VS Bovine	VS Primary	Arginine biosynthesis	Amino acid metabolism
map00260	H	A	-0.000741079	**	5925;458222;3813;275834	0.004491596	Down-regulation	A VS H	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	OddToed	EvenToed	-6.76E-19	**	15586;1261994;3898;268578	1.95E-17	Down-regulation	EvenToed VS OddToed	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	C	Y	-0.00067055	**	9815;714663;10696;744372	0.004094342	Down-regulation	Y VS C	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Bovine	Ovisae	1.81E-15	**	20803;1395622;9563;707197	4.36E-14	Up-regulation	Ovisae VS Bovine	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	A	-0.002449261	*	88;8574;3813;275834	0.012998099	Down-regulation	NA	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	EvenToed	-0.000461512	**	88;8574;3898;268578	0.00292113	Down-regulation	NA	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	Bovine	-0.000140496	**	88;8574;20803;1395622	0.000967564	Down-regulation	NA	VS Primary	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	C	-0.002790523	*	88;8574;9815;714663	0.014527525	Down-regulation	NA	Inter-group	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	Y	-0.000599215	**	88;8574;10696;744372	0.003700038	Down-regulation	NA	Inter-group	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	Ovisae	-0.00449065	*	88;8574;9563;707197	0.021952059	Down-regulation	NA	Inter-group	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	S	-0.003084673	*	88;8574;26315;1924026	0.015787901	Down-regulation	NA	Inter-group	Glycine, serine and threonine metabolism	Amino acid metabolism
map00260	Primary	AN	-0.003003977	*	88;8574;17908;1307895	0.015442981	Down-regulation	NA	Inter-group	Glycine, serine and threonine metabolism	Amino acid metabolism
map00642	S	AN	0.005812871	*	22;1950319;4;1325799	0.026856935	Up-regulation	AN VS S	VS Primary	Ethylbenzene degradation	Xenobiotics biodegradation and metabolism
map00360	OddToed	EvenToed	0.012029846	*	5254;1272326;1038;271438	0.04952136	Up-regulation	EvenToed VS OddToed	VS Primary	Phenylalanine metabolism	Amino acid metabolism
map00360	S	AN	-0.00827647	*	7342;1942999;5213;1320590	0.035773951	Down-regulation	AN VS S	VS Primary	Phenylalanine metabolism	Amino acid metabolism
map00791	C	Y	-1.77E-06	**	36;724442;91;754977	1.58E-05	Down-regulation	Y VS C	VS Primary	Atrazine degradation	Xenobiotics biodegradation and metabolism
map00660	H	A	7.71E-06	**	1163;462984;562;279085	6.24E-05	Up-regulation	A VS H	VS Primary	C5-Branched dibasic acid metabolism	Carbohydrate metabolism
map00660	OddToed	EvenToed	5.60E-12	**	3659;1273921;582;271894	9.73E-11	Up-regulation	EvenToed VS OddToed	VS Primary	C5-Branched dibasic acid metabolism	Carbohydrate metabolism
map00660	S	AN	-8.69E-05	**	4024;1946317;2996;1322807	0.000614774	Down-regulation	AN VS S	VS Primary	C5-Branched dibasic acid metabolism	Carbohydrate metabolism
map00643	H	A	6.50E-06	**	96;464051;22;279625	5.31E-05	Up-regulation	A VS H	VS Primary	Styrene degradation	Xenobiotics biodegradation and metabolism
map00643	C	Y	-3.45E-17	**	97;724381;260;754808	9.23E-16	Down-regulation	Y VS C	VS Primary	Styrene degradation	Xenobiotics biodegradation and metabolism
map00643	Bovine	Ovisae	-6.29E-15	**	186;1416239;207;716553	1.46E-13	Down-regulation	Ovisae VS Bovine	VS Primary	Styrene degradation	Xenobiotics biodegradation and metabolism
map00340	H	A	0.007898722	*	2972;461175;1663;277984	0.034367286	Up-regulation	A VS H	VS Primary	Histidine metabolism	Amino acid metabolism
map00340	OddToed	EvenToed	-0.00912259	*	7777;1269803;1766;270710	0.039224748	Down-regulation	EvenToed VS OddToed	VS Primary	Histidine metabolism	Amino acid metabolism
map00340	C	Y	-3.83E-05	**	4513;719965;5099;749969	0.000280475	Down-regulation	Y VS C	VS Primary	Histidine metabolism	Amino acid metabolism
map00340	S	AN	-3.55E-23	**	12717;1937624;9866;1315937	1.34E-21	Down-regulation	AN VS S	VS Primary	Histidine metabolism	Amino acid metabolism
map00300	Bovine	Ovisae	4.33E-09	**	14035;1402390;6520;710240	5.35E-08	Up-regulation	Ovisae VS Bovine	VS Primary	Lysine biosynthesis	Amino acid metabolism
map00300	S	AN	-1.50E-08	**	18129;1932212;13130;1312673	1.74E-07	Down-regulation	AN VS S	VS Primary	Lysine biosynthesis	Amino acid metabolism
map00621	H	A	1.96E-06	**	197;463950;62;279585	1.73E-05	Up-regulation	A VS H	VS Primary	Dioxin degradation	Xenobiotics biodegradation and metabolism
map00621	OddToed	EvenToed	7.51E-35	**	580;1277000;11;272465	4.93E-33	Up-regulation	EvenToed VS OddToed	VS Primary	Dioxin degradation	Xenobiotics biodegradation and metabolism
map00621	Bovine	Ovisae	-6.78E-08	**	107;1416318;112;716648	7.20E-07	Down-regulation	Ovisae VS Bovine	VS Primary	Dioxin degradation	Xenobiotics biodegradation and metabolism
map00621	Primary	EvenToed	0.008247165	*	3;8659;11;272465	0.035694253	Up-regulation	NA	VS Primary	Dioxin degradation	Xenobiotics biodegradation and metabolism
map00640	C	Y	-2.10E-07	**	5362;719116;6141;748927	2.08E-06	Down-regulation	Y VS C	VS Primary	Propanoate metabolism	Carbohydrate metabolism
map00640	S	AN	-8.03E-11	**	14720;1935621;10849;1314954	1.22E-09	Down-regulation	AN VS S	VS Primary	Propanoate metabolism	Carbohydrate metabolism
map00750	H	A	-0.000214532	**	1246;462901;878;278769	0.001444134	Down-regulation	A VS H	VS Primary	Vitamin B6 metabolism	Metabolism of cofactors and vitamins
map00750	Bovine	Ovisae	4.27E-07	**	4182;1412243;1846;714914	4.13E-06	Up-regulation	Ovisae VS Bovine	VS Primary	Vitamin B6 metabolism	Metabolism of cofactors and vitamins
map00400	H	A	0.006423933	*	4631;459516;2626;277021	0.029228004	Up-regulation	A VS H	VS Primary	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism
map00400	OddToed	EvenToed	5.55E-18	**	13139;1264441;2322;270154	1.54E-16	Up-regulation	EvenToed VS OddToed	VS Primary	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism
map00400	C	Y	0.006772965	*	6774;717704;6767;748301	0.030520152	Up-regulation	Y VS C	VS Primary	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism
map00400	Bovine	Ovisae	0.000635832	**	12964;1403461;6244;710516	0.003918778	Up-regulation	Ovisae VS Bovine	VS Primary	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism
map00400	S	AN	-0.003879633	*	17359;1932982;12177;1313626	0.019368687	Down-regulation	AN VS S	VS Primary	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino acid metabolism
map00625	H	A	6.70E-05	**	554;463593;250;279397	0.000478552	Up-regulation	A VS H	VS Primary	Chloroalkane and chloroalkene degradation	Xenobiotics biodegradation and metabolism
map00625	OddToed	EvenToed	-7.75E-06	**	1319;1276261;366;272110	6.25E-05	Down-regulation	EvenToed VS OddToed	VS Primary	Chloroalkane and chloroalkene degradation	Xenobiotics biodegradation and metabolism
map00625	C	Y	-0.002461801	*	972;723506;1146;753922	0.013043575	Down-regulation	Y VS C	VS Primary	Chloroalkane and chloroalkene degradation	Xenobiotics biodegradation and metabolism
map00620	H	A	0.001642967	**	7357;456790;4189;275458	0.009116802	Up-regulation	A VS H	VS Primary	Pyruvate metabolism	Carbohydrate metabolism
map00620	C	Y	-2.63E-12	**	11579;712899;13167;741901	4.77E-11	Down-regulation	Y VS C	VS Primary	Pyruvate metabolism	Carbohydrate metabolism
map00620	Bovine	Ovisae	0.003839537	*	22797;1393628;11189;705571	0.019256303	Up-regulation	Ovisae VS Bovine	VS Primary	Pyruvate metabolism	Carbohydrate metabolism
map00620	Primary	Y	-0.010492273	*	123;8539;13167;741901	0.043963157	Down-regulation	NA	Inter-group	Pyruvate metabolism	Carbohydrate metabolism
map00030	OddToed	EvenToed	-6.33E-07	**	14359;1263221;3362;269114	5.94E-06	Down-regulation	EvenToed VS OddToed	VS Primary	Pentose phosphate pathway	Carbohydrate metabolism
map00030	C	Y	1.82E-05	**	9384;715094;9208;745860	0.000139846	Up-regulation	Y VS C	VS Primary	Pentose phosphate pathway	Carbohydrate metabolism
map00030	S	AN	-3.77E-24	**	23147;1927194;17402;1308401	1.47E-22	Down-regulation	AN VS S	VS Primary	Pentose phosphate pathway	Carbohydrate metabolism
map00983	OddToed	EvenToed	-2.25E-06	**	7251;1270329;1750;270726	1.96E-05	Down-regulation	EvenToed VS OddToed	VS Primary	Drug metabolism - other enzymes	Xenobiotics biodegradation and metabolism
map00983	C	Y	8.36E-06	**	4965;719513;4742;750326	6.70E-05	Up-regulation	Y VS C	VS Primary	Drug metabolism - other enzymes	Xenobiotics biodegradation and metabolism
map00983	Bovine	Ovisae	1.20E-08	**	9775;1406650;4476;712284	1.42E-07	Up-regulation	Ovisae VS Bovine	VS Primary	Drug metabolism - other enzymes	Xenobiotics biodegradation and metabolism
map00780	H	A	-2.90E-24	**	1870;462277;1593;278054	1.19E-22	Down-regulation	A VS H	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	OddToed	EvenToed	2.71E-18	**	6222;1271358;998;271478	7.67E-17	Up-regulation	EvenToed VS OddToed	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	C	Y	3.27E-06	**	3279;721199;3051;752017	2.81E-05	Up-regulation	Y VS C	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Bovine	Ovisae	5.02E-11	**	6612;1409813;2901;713859	7.89E-10	Up-regulation	Ovisae VS Bovine	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	S	AN	1.25E-47	**	8842;1941499;4642;1321161	1.11E-45	Up-regulation	AN VS S	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	H	2.59E-05	**	62;8600;1870;462277	0.000194119	Up-regulation	NA	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	OddToed	0.002541831	*	62;8600;6222;1271358	0.013338524	Up-regulation	NA	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	EvenToed	1.95E-06	**	62;8600;998;271478	1.73E-05	Up-regulation	NA	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	Bovine	0.000984671	**	62;8600;6612;1409813	0.005817707	Up-regulation	NA	VS Primary	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	C	0.000494776	**	62;8600;3279;721199	0.003113674	Up-regulation	NA	Inter-group	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	Y	2.59E-05	**	62;8600;3051;752017	0.000194141	Up-regulation	NA	Inter-group	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	Ovisae	2.73E-05	**	62;8600;2901;713859	0.000203709	Up-regulation	NA	Inter-group	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	S	0.000487802	**	62;8600;8842;1941499	0.003081598	Up-regulation	NA	Inter-group	Biotin metabolism	Metabolism of cofactors and vitamins
map00780	Primary	AN	3.23E-07	**	62;8600;4642;1321161	3.14E-06	Up-regulation	NA	Inter-group	Biotin metabolism	Metabolism of cofactors and vitamins
map00730	H	A	-9.37E-06	**	2823;461324;1931;277716	7.45E-05	Down-regulation	A VS H	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	C	Y	1.96E-05	**	5184;719294;4980;750088	0.000148847	Up-regulation	Y VS C	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	Bovine	Ovisae	6.13E-17	**	10334;1406091;4519;712241	1.59E-15	Up-regulation	Ovisae VS Bovine	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	S	AN	7.63E-20	**	13367;1936974;8004;1317799	2.41E-18	Up-regulation	AN VS S	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	Primary	H	0.002347189	*	75;8587;2823;461324	0.012557846	Up-regulation	NA	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	Primary	OddToed	0.005225267	*	75;8587;8063;1269517	0.024584568	Up-regulation	NA	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	Primary	EvenToed	0.004687324	*	75;8587;1703;270773	0.022777898	Up-regulation	NA	VS Primary	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	Primary	Ovisae	0.005226861	*	75;8587;4519;712241	0.024584568	Up-regulation	NA	Inter-group	Thiamine metabolism	Metabolism of cofactors and vitamins
map00730	Primary	AN	0.00183708	*	75;8587;8004;1317799	0.010142536	Up-regulation	NA	Inter-group	Thiamine metabolism	Metabolism of cofactors and vitamins
map00980	C	Y	-7.38E-06	**	197;724281;305;754763	5.98E-05	Down-regulation	Y VS C	VS Primary	Metabolism of xenobiotics by cytochrome P450	Xenobiotics biodegradation and metabolism
map00980	Bovine	Ovisae	-1.63E-10	**	364;1416061;303;716457	2.40E-09	Down-regulation	Ovisae VS Bovine	VS Primary	Metabolism of xenobiotics by cytochrome P450	Xenobiotics biodegradation and metabolism
map00980	S	AN	0.000731274	**	713;1949628;397;1325406	0.004448582	Up-regulation	AN VS S	VS Primary	Metabolism of xenobiotics by cytochrome P450	Xenobiotics biodegradation and metabolism
map00270	Bovine	Ovisae	1.12E-06	**	22807;1393618;10929;705831	1.03E-05	Up-regulation	Ovisae VS Bovine	VS Primary	Cysteine and methionine metabolism	Amino acid metabolism
map00270	S	AN	-4.26E-06	**	30014;1920327;21229;1304574	3.62E-05	Down-regulation	AN VS S	VS Primary	Cysteine and methionine metabolism	Amino acid metabolism
map00626	H	A	6.86E-09	**	277;463870;85;279562	8.31E-08	Up-regulation	A VS H	VS Primary	Naphthalene degradation	Xenobiotics biodegradation and metabolism
map00626	Bovine	Ovisae	-0.004469885	*	581;1415844;352;716408	0.021883118	Down-regulation	Ovisae VS Bovine	VS Primary	Naphthalene degradation	Xenobiotics biodegradation and metabolism
map00785	H	A	-9.65E-08	**	103;464044;125;279522	9.87E-07	Down-regulation	A VS H	VS Primary	Lipoic acid metabolism	Metabolism of cofactors and vitamins
map00785	OddToed	EvenToed	-1.11E-08	**	276;1277304;114;272362	1.31E-07	Down-regulation	EvenToed VS OddToed	VS Primary	Lipoic acid metabolism	Metabolism of cofactors and vitamins
map00785	Bovine	Ovisae	1.09E-06	**	824;1415601;305;716455	1.00E-05	Up-regulation	Ovisae VS Bovine	VS Primary	Lipoic acid metabolism	Metabolism of cofactors and vitamins
map00785	S	AN	7.04E-11	**	855;1949486;396;1325407	1.08E-09	Up-regulation	AN VS S	VS Primary	Lipoic acid metabolism	Metabolism of cofactors and vitamins
map00280	H	A	-1.17E-13	**	1023;463124;867;278780	2.42E-12	Down-regulation	A VS H	VS Primary	Valine, leucine and isoleucine degradation	Amino acid metabolism
map00280	Bovine	Ovisae	4.47E-21	**	4280;1412145;1661;715099	1.55E-19	Up-regulation	Ovisae VS Bovine	VS Primary	Valine, leucine and isoleucine degradation	Amino acid metabolism
map00280	S	AN	6.59E-33	**	4717;1945624;2389;1323414	3.87E-31	Up-regulation	AN VS S	VS Primary	Valine, leucine and isoleucine degradation	Amino acid metabolism
map00790	H	A	-1.00E-13	**	2634;461513;1977;277670	2.08E-12	Down-regulation	A VS H	VS Primary	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	OddToed	EvenToed	1.31E-11	**	8295;1269285;1471;271005	2.20E-10	Up-regulation	EvenToed VS OddToed	VS Primary	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	C	Y	0.009884429	*	4052;720426;4009;751059	0.041897223	Up-regulation	Y VS C	VS Primary	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	Bovine	Ovisae	5.27E-38	**	9055;1407370;3573;713187	3.68E-36	Up-regulation	Ovisae VS Bovine	VS Primary	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	S	AN	1.60E-85	**	10108;1940233;4922;1320881	2.50E-83	Up-regulation	AN VS S	VS Primary	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	Primary	EvenToed	0.007437923	*	65;8597;1471;271005	0.03292935	Up-regulation	NA	VS Primary	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	Primary	Y	0.004877371	*	65;8597;4009;751059	0.023266897	Up-regulation	NA	Inter-group	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	Primary	Ovisae	0.001219282	**	65;8597;3573;713187	0.006978497	Up-regulation	NA	Inter-group	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	Primary	S	0.00281435	*	65;8597;10108;1940233	0.014559275	Up-regulation	NA	Inter-group	Folate biosynthesis	Metabolism of cofactors and vitamins
map00790	Primary	AN	2.51E-07	**	65;8597;4922;1320881	2.46E-06	Up-regulation	NA	Inter-group	Folate biosynthesis	Metabolism of cofactors and vitamins
map00630	OddToed	EvenToed	-3.56E-24	**	11695;1265885;3070;269406	1.44E-22	Down-regulation	EvenToed VS OddToed	VS Primary	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
map00630	Bovine	Ovisae	1.91E-11	**	15826;1400599;7300;709460	3.11E-10	Up-regulation	Ovisae VS Bovine	VS Primary	Glyoxylate and dicarboxylate metabolism	Carbohydrate metabolism
map00051	H	A	-5.22E-13	**	4839;459308;3419;276228	1.03E-11	Down-regulation	A VS H	VS Primary	Fructose and mannose metabolism	Carbohydrate metabolism
map00051	OddToed	EvenToed	5.85E-06	**	14670;1262910;2864;269612	4.83E-05	Up-regulation	EvenToed VS OddToed	VS Primary	Fructose and mannose metabolism	Carbohydrate metabolism
map00051	C	Y	6.22E-13	**	8633;715845;8065;747003	1.22E-11	Up-regulation	Y VS C	VS Primary	Fructose and mannose metabolism	Carbohydrate metabolism
map00051	Bovine	Ovisae	3.37E-06	**	16505;1399920;7856;708904	2.89E-05	Up-regulation	Ovisae VS Bovine	VS Primary	Fructose and mannose metabolism	Carbohydrate metabolism
map00020	H	A	-0.001228009	**	4068;460079;2644;277003	0.007007475	Down-regulation	A VS H	VS Primary	Citrate cycle (TCA cycle)	Carbohydrate metabolism
map00020	OddToed	EvenToed	0.00031014	**	10716;1266864;2108;270368	0.002029505	Up-regulation	EvenToed VS OddToed	VS Primary	Citrate cycle (TCA cycle)	Carbohydrate metabolism
map00020	C	Y	-0.000340278	**	6388;718090;7059;748009	0.002208371	Down-regulation	Y VS C	VS Primary	Citrate cycle (TCA cycle)	Carbohydrate metabolism
map00020	Bovine	Ovisae	1.78E-08	**	13038;1403387;6060;710700	2.05E-07	Up-regulation	Ovisae VS Bovine	VS Primary	Citrate cycle (TCA cycle)	Carbohydrate metabolism
map00020	S	AN	6.74E-06	**	17370;1932971;11204;1314599	5.49E-05	Up-regulation	AN VS S	VS Primary	Citrate cycle (TCA cycle)	Carbohydrate metabolism
map00020	Primary	A	-0.010271328	*	61;8601;2644;277003	0.043202705	Down-regulation	NA	VS Primary	Citrate cycle (TCA cycle)	Carbohydrate metabolism
map00364	S	AN	0.000296705	**	38;1950303;7;1325796	0.001949351	Up-regulation	AN VS S	VS Primary	Fluorobenzoate degradation	Xenobiotics biodegradation and metabolism
