Rank	Taxon	Counts
Order	o__Propionibacteriales	1
Order	o__Pseudomonadales	14
Order	o__RF32	184
Order	o__RF39	100
Order	o__RFN20	44
Order	o__RFP12	117
Order	o__RGIG6154	33
Order	o__RGIG7378	5
Order	o__RGIG8785	3
Order	o__RGIG982	5
Order	o__Rhodobacterales	1
Order	o__Rs-D84	219
Order	o__RUG11792	3
Order	o__RUG12999	30
Order	o__Saccharimonadales	200
Order	o__Saccharofermentanales	50
Order	o__Selenomonadales	14
Order	o__Sphaerochaetales	9
Order	o__Sphingobacteriales	9
Order	o__Sphingomonadales	2
Order	o__Synergistales	10
Order	o__Syntrophomonadales	2
Order	o__TANB77	83
Order	o__Treponematales	136
Order	o__UBA1212	38
Order	o__UBA1381	331
Order	o__UBA1400	2
Order	o__UBA1407	5
Order	o__UBA3054	1
Order	o__UBA3830	4
Order	o__UBA4068	5
Order	o__UBA4248	12
Order	o__UBA4802	1
Order	o__UBA5829	1
Order	o__UBA7702	1
Order	o__UBA7976	1
Order	o__UBA9339	1
Order	o__UMGS1810	145
Order	o__UMGS1840	55
Order	o__UMGS1883	164
Order	o__Veillonellales	1
Order	o__Verrucomicrobiales	137
Order	o__Victivallales	145
Order	o__Xenobiales	2
Family	Unclassified	28
Family	f__Absconditicoccaceae	4
Family	f__Acetobacteraceae	2
Family	f__Acidaminococcaceae	18
Family	f__Acutalibacteraceae	2111
Family	f__Adiutricaceae	1
Family	f__Aeromonadaceae	1
Family	f__Akkermansiaceae	137
Family	f__Anaerofustaceae	10
Family	f__Anaerolineaceae	1
Family	f__Anaeroplasmataceae	17
Family	f__Anaerotignaceae	9
Family	f__Anaerovoracaceae	128
Family	f__Atopobiaceae	11
Family	f__Bacteroidaceae	540
Family	f__Barnesiellaceae	17
Family	f__Bianqueaceae	20
Family	f__Bifidobacteriaceae	6
Family	f__BM520	1
Family	f__Borkfalkiaceae	692
Family	f__Burkholderiaceae	4
Family	f__Burkholderiaceae_A	5
Family	f__Burkholderiaceae_B	1
Family	f__Butyricicoccaceae	32
Family	f__CACZYB01	4
Family	f__CADAEX01	5
Family	f__CADBOM01	2
Family	f__CAG-1252	1
Family	f__CAG-138	35
Family	f__CAG-239	108
Family	f__CAG-272	1985
Family	f__CAG-312	11
Family	f__CAG-313	41
Family	f__CAG-314	22
Family	f__CAG-382	291
Family	f__CAG-449	3
Family	f__CAG-465	21
Family	f__CAG-508	57
Family	f__CAG-631	2
Family	f__CAG-698	16
Family	f__CAG-74	153
Family	f__CAG-826	33
Family	f__CAG-917	16
Family	f__CAG-977	4
Family	f__CALXSZ01	2
Family	f__Campylobacteraceae	3
Family	f__Carnobacteriaceae	2
Family	f__Cellulomonadaceae	2
Family	f__Cellulosilyticaceae	2
Family	f__Chitinophagaceae	1
Family	f__Chlamydiaceae	2
Family	f__Christensenellaceae	5
Family	f__Clostridiaceae	6
Family	f__Coprobacillaceae	4
Family	f__Crocinitomicaceae	1
Family	f__Desulfobulbaceae	1
Family	f__Desulfocucumaceae	2
Family	f__Desulfovibrionaceae	15
Family	f__Dialisteraceae	1
Family	f__DSM-1321	13
Family	f__DSM-18226	1
Family	f__DTU072	15
Family	f__DUOF01	4
Family	f__DUVY01	1
Family	f__Eggerthellaceae	26
Family	f__Elusimicrobiaceae	85
Family	f__Endomicrobiaceae	3
Family	f__Enterobacteriaceae	2
Family	f__Enterococcaceae	2
Family	f__Erysipelotrichaceae	74
Family	f__F082	80
Family	f__Feifaniaceae	6
Family	f__Fibrobacteraceae	34
Family	f__Firm-18	25
Family	f__Flavobacteriaceae	3
Family	f__G3-4614	13
Family	f__Gastranaerophilaceae	100
Family	f__GWE2-31-10	3
Family	f__Helicobacteraceae	1
Family	f__HGM11327	6
Family	f__HGM11501	11
Family	f__HGM11507	35
Family	f__HGM11514	15
Family	f__JAAYLN01	2
Family	f__JAAYOS01	1
Family	f__JAAYXM01	84
Family	f__JAEEML01	2
Family	f__JAGOMX01	1
Family	f__JAILCC01	1
Family	f__JAKSVV01	1
Family	f__Lachnospiraceae	1036
Family	f__Lactobacillaceae	3
Family	f__Lenti-01	1
Family	f__LL51	2
Family	f__Marinifilaceae	8
Family	f__MARSEILLE-P3954	2
Family	f__MB2-83	1
Family	f__Metamycoplasmataceae	1
Family	f__MGBC116941	1
Family	f__Microbacteriaceae	6
Family	f__Micrococcaceae	3
Family	f__ML635J-15	2
Family	f__Monoglobaceae	196
Family	f__Moraxellaceae	11
Family	f__Mucispirillaceae	2
Family	f__Muribaculaceae	82
Family	f__Mycobacteriaceae	1
Family	f__Mycoplasmoidaceae	14
Family	f__Myxococcaceae	1
Family	f__Nanosyncoccaceae	198
Family	f__Nocardioidaceae	1
Family	f__Oscillospiraceae	1068
Family	f__Ozemobacteraceae	3
Family	f__P3	78
Family	f__Paenibacillaceae	3
Family	f__Paludibacteraceae	228
Family	f__Peptococcaceae	14
Family	f__PJMF01	2
Family	f__Planococcaceae	18
Family	f__Pseudomonadaceae	3
Family	f__Pumilibacteraceae	30
Family	f__QAKW01	81
Family	f__QALW01	48
Family	f__QAMH01	2
Family	f__QAMX01	15
Family	f__RGIG5299	4
Family	f__RGIG6154	32
Family	f__RGIG7378	5
Family	f__RGIG7773	1
Family	f__RGIG8002	2
Family	f__RGIG8785	3
Family	f__RGIG9151	1
Family	f__RGIG982	5
Family	f__Rhodobacteraceae	1
Family	f__Rhodocyclaceae	1
Family	f__Rikenellaceae	408
Family	f__Rs-D84	215
Family	f__RUG11792	3
Family	f__RUG12999	30
Family	f__RUG14156	17
Family	f__RUG350	24
Family	f__Ruminococcaceae	383
Family	f__Saccharimonadaceae	1
Family	f__Saccharofermentanaceae	50
Family	f__Selenomonadaceae	14
Family	f__Shewanellaceae	1
Family	f__SIG427	3
Family	f__SIG519	1
Family	f__SIG530	1
Family	f__SIG627	104
Family	f__Sphaerochaetaceae	9
Family	f__Sphingobacteriaceae	9
Family	f__Sphingomonadaceae	2
Family	f__Streptococcaceae	1
Family	f__Succinivibrionaceae	9
Family	f__Synergistaceae	10
Family	f__SZUA-534	4
Family	f__Tannerellaceae	2
Family	f__Thermoguttaceae	37
Family	f__Treponemataceae	136
Family	f__UBA1067	109
Family	f__UBA11471	1
Family	f__UBA1188	1
Family	f__UBA1212	9
Family	f__UBA1234	4
Family	f__UBA1242	197
Family	f__UBA1255	22
Family	f__UBA1257	1
Family	f__UBA1381	173
Family	f__UBA1402	4
Family	f__UBA1407	5
Family	f__UBA1412	1
Family	f__UBA1532	1
Family	f__UBA1547_A	1
Family	f__UBA1709	2
Family	f__UBA1715	10
Family	f__UBA1750	3
Family	f__UBA1820	4
Family	f__UBA1829	28
Family	f__UBA3054	1
Family	f__UBA3636	4
Family	f__UBA3637	71
Family	f__UBA3663	38
Family	f__UBA3824	9
Family	f__UBA3830	2
Family	f__UBA4248	12
Family	f__UBA5297	1
Family	f__UBA5550	1
Family	f__UBA5755	5
Family	f__UBA5829	1
Family	f__UBA644	53
Family	f__UBA660	100
Family	f__UBA7702	1
Family	f__UBA932	394
Family	f__UBA9339	1
Family	f__UBA9506	133
Family	f__UBA953	9
Family	f__UBA9783	5
Family	f__UMGS1253	25
Family	f__UMGS1384	6
Family	f__UMGS1540	53
Family	f__UMGS1783	21
Family	f__UMGS1810	145
Family	f__UMGS1840	20
Family	f__UMGS1883	97
Family	f__UMGS416	2
Family	f__Victivallaceae	117
Family	f__W3P20-009	16
Family	f__WCHB1-69	36
Family	f__Weeksellaceae	1
Family	f__Xenobiaceae	2
Genus	Unclassified	525
Genus	g__12844	2
Genus	g__14-2	8
Genus	g__2011-GWC2-44-17	1
Genus	g__AC2028	8
Genus	g__Acetatifactor	131
Genus	g__Acetobacter	2
Genus	g__Acinetobacter	11
Genus	g__Adiutrix	1
Genus	g__Aeromonas	1
Genus	g__Agathobacter	44
Genus	g__Akkermansia	137
Genus	g__Alectryobacillus	1
Genus	g__Alectryocaccobium	3
Genus	g__Alistipes	337
Genus	g__Allisonella	1
Genus	g__Alloprevotella	39
Genus	g__Alloscillospira	4
Genus	g__Anaerobutyricum	3
Genus	g__Anaeroplasma	11
Genus	g__Anaerotignum	6
Genus	g__Anaerovibrio	2
Genus	g__Aphodoplasma	6
Genus	g__Aphodosoma	31
Genus	g__Aphodousia	3
Genus	g__Arcticibacter	1
Genus	g__Arthrobacter_B	3
Genus	g__Avelusimicrobium	17
Genus	g__Avidehalobacter	5
Genus	g__Avigastranaerophilus	15
Genus	g__Avilachnospira	5
Genus	g__Avimonas	1
Genus	g__Avimonoglobus	1
Genus	g__Avispirillum	45
Genus	g__Avoscillospira	25
Genus	g__Bacillus_AD	6
Genus	g__Bacillus_AZ	1
Genus	g__Bact-11	19
Genus	g__Bact-19	2
Genus	g__Bacteroides	3
Genus	g__Bariatricus	1
Genus	g__Barnesiella_A	17
Genus	g__Bifidobacterium	1
Genus	g__Bilophila	1
Genus	g__Blautia_A	2
Genus	g__Breznakia	1
Genus	g__Bulleidia	28
Genus	g__Butyribacter	1
Genus	g__Butyrivibrio	7
Genus	g__Butyrivibrio_A	7
Genus	g__CAAHEQ01	2
Genus	g__Caccoplasma	13
Genus	g__Caccosoma	2
Genus	g__Caccovivens	27
Genus	g__CACZQQ01	1
Genus	g__CACZYB01	4
Genus	g__CADAEX01	3
Genus	g__CAG-1000	3
Genus	g__CAG-1024	3
Genus	g__CAG-103	2
Genus	g__CAG-115	32
Genus	g__CAG-170	4
Genus	g__CAG-177	160
Genus	g__CAG-1782	2
Genus	g__CAG-194	25
Genus	g__CAG-196	25
Genus	g__CAG-238	3
Genus	g__CAG-267	17
Genus	g__CAG-269	10
Genus	g__CAG-272	46
Genus	g__CAG-273	2
Genus	g__CAG-302	1
Genus	g__CAG-303	8
Genus	g__CAG-313	4
Genus	g__CAG-353	1
Genus	g__CAG-390	40
Genus	g__CAG-41	2
Genus	g__CAG-433	1
Genus	g__CAG-448	178
Genus	g__CAG-449	1
Genus	g__CAG-452	8
Genus	g__CAG-475	1
Genus	g__CAG-485	7
Genus	g__CAG-488	65
Genus	g__CAG-492	6
Genus	g__CAG-510	7
Genus	g__CAG-533	1
Genus	g__CAG-552	2
Genus	g__CAG-557	6
Genus	g__CAG-582	1
Genus	g__CAG-590	17
Genus	g__CAG-632	3
Genus	g__CAG-698	2
Genus	g__CAG-724	1
Genus	g__CAG-791	6
Genus	g__CAG-793	1
Genus	g__CAG-877	2
Genus	g__CAG-882	2
Genus	g__CAG-95	10
Genus	g__CAG-964	5
Genus	g__CAJFPI01	1
Genus	g__CAJGBR01	6
Genus	g__CAJGCS01	6
Genus	g__CAJGDV01	3
Genus	g__CAJLYO01	5
Genus	g__CAJOGH01	1
Genus	g__CAJOIG01	6
Genus	g__CAJOLV01	3
Genus	g__CAJOQB01	1
Genus	g__CAKOMG01	6
Genus	g__CAKPCJ01	1
Genus	g__CAKPSH01	1
Genus	g__CAKPTA01	1
Genus	g__CAKQKQ01	1
Genus	g__CAKQTH01	1
Genus	g__CAKQWA01	1
Genus	g__CAKRJP01	1
Genus	g__CAKRZE01	5
Genus	g__CAKSDT01	1
Genus	g__CAKSEI01	5
Genus	g__CAKSHC01	18
Genus	g__CAKSHP01	6
Genus	g__CAKSIP01	16
Genus	g__CAKSIW01	4
Genus	g__CAKSKB01	2
Genus	g__CAKSQF01	4
Genus	g__CAKSQL01	4
Genus	g__CAKSST01	2
Genus	g__CAKSUT01	2
Genus	g__CAKTXU01	1
Genus	g__CAKUFA01	2
Genus	g__CAKVLG01	1
Genus	g__CAKVLS01	17
Genus	g__CALUTH01	3
Genus	g__CALVJJ01	1
Genus	g__CALVNY01	3
Genus	g__CALWJF01	1
Genus	g__CALWPC01	1
Genus	g__CALWPV01	12
Genus	g__CALWZE01	1
Genus	g__CALXFK01	1
Genus	g__CALXJE01	4
Genus	g__CALXSZ01	2
Genus	g__CALXVS01	1
Genus	g__CALXZG01	3
Genus	g__CALZKI01	3
Genus	g__Campylobacter	3
Genus	g__Carnobacterium_A	2
Genus	g__Catenibacillus	1
Genus	g__CAZU01	39
Genus	g__Cellulomonas	1
Genus	g__Cellulomonas_A	1
Genus	g__Cellulosilyticum	2
Genus	g__Chlamydophila	2
Genus	g__Choladocola	3
Genus	g__Chryseobacterium	1
Genus	g__Clavibacter	2
Genus	g__Clostridium	3
Genus	g__Clostridium_Q	2
Genus	g__COE1	9
Genus	g__Comamonas	1
Genus	g__Congzhengia	78
Genus	g__Coprenecus	13
Genus	g__Copromonas	12
Genus	g__Coprosoma	1
Genus	g__Coprovivens	14
Genus	g__Cryptobacteroides	300
Genus	g__Denitrobacterium	1
Genus	g__Desulfobulbus	1
Genus	g__Desulfovibrio	3
Genus	g__DTU064	4
Genus	g__DTU089	181
Genus	g__Duodenibacillus	1
Genus	g__DXWE01	1
Genus	g__DXYV01	4
Genus	g__Dysosmobacter	9
Genus	g__E4-135	5
Genus	g__E4-60	8
Genus	g__Edaphocola	1
Genus	g__Egerieisoma	9
Genus	g__Egerieousia	55
Genus	g__Eisenbergiella	2
Genus	g__Emergencia	7
Genus	g__Enterenecus	8
Genus	g__Enterocloster	1
Genus	g__Enterococcus_B	2
Genus	g__Enterocola	28
Genus	g__Enteromonas	3
Genus	g__Enterousia	215
Genus	g__ER4	8
Genus	g__Escherichia	1
Genus	g__Eubacterium_F	2
Genus	g__Eubacterium_G	4
Genus	g__Eubacterium_I	7
Genus	g__Eubacterium_Q	2
Genus	g__Eubacterium_R	7
Genus	g__Evtepia	2
Genus	g__F23-B02	16
Genus	g__F23-D06	16
Genus	g__Faecalibacterium	1
Genus	g__Faecalimonas	69
Genus	g__Faeciplasma	7
Genus	g__Faecisoma	1
Genus	g__Faecivicinus	2
Genus	g__Faecousia	729
Genus	g__FD2005	2
Genus	g__Fibrobacter	29
Genus	g__Fimenecus	86
Genus	g__Fimimonas	9
Genus	g__Fimisoma	9
Genus	g__Fimivivens	1
Genus	g__Fimousia	3
Genus	g__Firm-04	20
Genus	g__Firm-07	72
Genus	g__Firm-08	12
Genus	g__Firm-16	4
Genus	g__Flavobacterium	3
Genus	g__Flemingibacterium	58
Genus	g__Flexilinea	1
Genus	g__Fumia	5
Genus	g__Fusicatenibacter	1
Genus	g__G11	1
Genus	g__Ga6A1	2
Genus	g__Gallibacter	2
Genus	g__Galligastranaerophilus_A	1
Genus	g__Gallimonas	2
Genus	g__Gallipaludibacter	3
Genus	g__Gastranaerophilus	7
Genus	g__Helicobacter_B	1
Genus	g__Heteroclostridium	3
Genus	g__Heteroruminococcus	2
Genus	g__HGM04593	149
Genus	g__HGM05376	8
Genus	g__HGM05398	1
Genus	g__HGM10611	7
Genus	g__HGM10836	1
Genus	g__HGM11367	6
Genus	g__HGM11372	3
Genus	g__HGM11412	97
Genus	g__HGM11416	11
Genus	g__HGM11501	11
Genus	g__HGM11507	5
Genus	g__HGM11525	16
Genus	g__HGM11604	2
Genus	g__HGM11616	1
Genus	g__HGM12587	10
Genus	g__HGM12619	15
Genus	g__HGM12713	158
Genus	g__HGM12789	5
Genus	g__HGM13006	2
Genus	g__HGM13010	8
Genus	g__HGM13222	6
Genus	g__HGM13634	3
Genus	g__Holdemanella	1
Genus	g__Homoserinimonas	1
Genus	g__Hornefia	2
Genus	g__HUN007	13
Genus	g__Instestinimonas_A	1
Genus	g__ISDg	11
Genus	g__JAAVZI01	1
Genus	g__JAAYNH01	1
Genus	g__JAAYQM01	5
Genus	g__JAAZBA01	2
Genus	g__JAAZKA01	1
Genus	g__JAAZZIT01	2
Genus	g__JAEDES01	11
Genus	g__JAEDHM01	1
Genus	g__JAEDJH01	1
Genus	g__JAEEML01	2
Genus	g__JAEXZL01	2
Genus	g__JAEZOU01	2
Genus	g__JAFSXO01	2
Genus	g__JAFTCA01	1
Genus	g__JAFTYO01	11
Genus	g__JAFUYI01	8
Genus	g__JAGBWK01	2
Genus	g__JAGCJX01	3
Genus	g__JAHHSE01	1
Genus	g__JAHHTG01	2
Genus	g__JAHHTP01	1
Genus	g__JAHHUH01	5
Genus	g__JAILCC01	1
Genus	g__JAILFK01	1
Genus	g__JAILGW01	1
Genus	g__JAILLW01	13
Genus	g__JAJQCF01	1
Genus	g__JAKEEX01	1
Genus	g__JAKSOL01	1
Genus	g__JAKSPF01	4
Genus	g__JAKSPP01	3
Genus	g__JAKSPV01	2
Genus	g__JAKSRN01	1
Genus	g__JAKSSE01	5
Genus	g__JAKSSK01	1
Genus	g__JAKSSM01	1
Genus	g__JAKSSR01	2
Genus	g__JAKSUT01	3
Genus	g__JAKSVV01	1
Genus	g__JALELF01	1
Genus	g__JALENY01	5
Genus	g__JAMPGF01	1
Genus	g__Kandleria	1
Genus	g__Kineothrix	4
Genus	g__KLE1615	1
Genus	g__Lachnospira	6
Genus	g__Lawsonibacter	45
Genus	g__Lelliottia	1
Genus	g__Lentihominibacter	15
Genus	g__Ligilactobacillus	1
Genus	g__Limenecus	4
Genus	g__Limimorpha	80
Genus	g__Limiplasma	13
Genus	g__Limivicinus	50
Genus	g__Limivivens	2
Genus	g__Limosilactobacillus	2
Genus	g__Longicatena	1
Genus	g__Lysinibacillus_B	7
Genus	g__M3	1
Genus	g__Mailhella	9
Genus	g__Marvinbryantia	1
Genus	g__MB2-83	1
Genus	g__Mediterranea	5
Genus	g__Merdimorpha	4
Genus	g__Merdivicinus	1
Genus	g__Merdousia	10
Genus	g__MGBC108787	1
Genus	g__MGBC113645	2
Genus	g__MGBC116941	1
Genus	g__MGBC120314	4
Genus	g__MGBC133411	3
Genus	g__MGBC143606	2
Genus	g__MGBC162581	1
Genus	g__Microbacterium	2
Genus	g__Mycetocola_A	1
Genus	g__Mycoplasma_L	2
Genus	g__Nanosyncoccus	182
Genus	g__Negativibacillus	7
Genus	g__NK4A136	24
Genus	g__NK4A144	1
Genus	g__Nocardioides	1
Genus	g__Novosphingobium	1
Genus	g__Odoribacter	3
Genus	g__Oliverpabstia	1
Genus	g__Onthomonas	2
Genus	g__Onthomorpha	17
Genus	g__Onthoplasma	46
Genus	g__Ornithomonoglobus	30
Genus	g__Ornithomonoglobus_A	1
Genus	g__Ornithospirochaeta	3
Genus	g__Oxalobacter	4
Genus	g__Paenibacillus	3
Genus	g__Parabacteroides	1
Genus	g__Parachristensenella	2
Genus	g__Paramuribaculum	4
Genus	g__Paraprevotella	2
Genus	g__Paratractidigestivibacter	1
Genus	g__Pedobacter	5
Genus	g__Pelethenecus	2
Genus	g__Pelethomonas	12
Genus	g__Pelobium	1
Genus	g__Peribacillus	4
Genus	g__Phascolarctobacterium_A	7
Genus	g__Phil12	1
Genus	g__Phocaeicola	34
Genus	g__Phocaeicola_A	20
Genus	g__Phoenicibacter	10
Genus	g__Porcincola	1
Genus	g__Pradoshia	3
Genus	g__Prevotella	82
Genus	g__Pseudobutyrivibrio	5
Genus	g__Pseudomonas_E	2
Genus	g__Pseudotabrizicola	1
Genus	g__Psychrobacillus	2
Genus	g__QAKD01	1
Genus	g__QAKW01	45
Genus	g__QALA01	1
Genus	g__QALR01	32
Genus	g__QAMH01	2
Genus	g__QAMX01	4
Genus	g__QHMH01	1
Genus	g__Quinella	3
Genus	g__RF16	117
Genus	g__RGIG10190	2
Genus	g__RGIG10340	2
Genus	g__RGIG1476	3
Genus	g__RGIG1666	6
Genus	g__RGIG1681	15
Genus	g__RGIG1711	15
Genus	g__RGIG1743	2
Genus	g__RGIG1752	2
Genus	g__RGIG1828	40
Genus	g__RGIG1864	2
Genus	g__RGIG1888	1
Genus	g__RGIG1893	1
Genus	g__RGIG1896	13
Genus	g__RGIG1902	5
Genus	g__RGIG1911	4
Genus	g__RGIG1913	1
Genus	g__RGIG1916	2
Genus	g__RGIG1918	6
Genus	g__RGIG1927	11
Genus	g__RGIG1931	1
Genus	g__RGIG1932	1
Genus	g__RGIG1934	3
Genus	g__RGIG1943	3
Genus	g__RGIG1959	29
Genus	g__RGIG1965	1
Genus	g__RGIG1988	27
Genus	g__RGIG1993	7
Genus	g__RGIG1995	23
Genus	g__RGIG2000	98
Genus	g__RGIG2041	13
Genus	g__RGIG2066	9
Genus	g__RGIG2094	7
Genus	g__RGIG2134	8
Genus	g__RGIG2161	2
Genus	g__RGIG2163	3
Genus	g__RGIG2206	15
Genus	g__RGIG2220	1
Genus	g__RGIG2224	20
Genus	g__RGIG250	2
Genus	g__RGIG2560	2
Genus	g__RGIG2707	2
Genus	g__RGIG2945	6
Genus	g__RGIG2951	3
Genus	g__RGIG3002	3
Genus	g__RGIG3009	81
Genus	g__RGIG3013	2
Genus	g__RGIG3077	4
Genus	g__RGIG3091	1
Genus	g__RGIG3096	2
Genus	g__RGIG3102	20
Genus	g__RGIG3135	3
Genus	g__RGIG3159	4
Genus	g__RGIG3438	4
Genus	g__RGIG3456	1
Genus	g__RGIG3495	1
Genus	g__RGIG3506	4
Genus	g__RGIG3513	6
Genus	g__RGIG3525	1
Genus	g__RGIG3528	11
Genus	g__RGIG3566	10
Genus	g__RGIG3586	1
Genus	g__RGIG3636	1
Genus	g__RGIG3701	4
Genus	g__RGIG3732	2
Genus	g__RGIG3770	1
Genus	g__RGIG3872	2
Genus	g__RGIG3925	13
Genus	g__RGIG3926	9
Genus	g__RGIG3947	3
Genus	g__RGIG3994	10
Genus	g__RGIG4034	5
Genus	g__RGIG4074	2
Genus	g__RGIG4076	7
Genus	g__RGIG4079	35
Genus	g__RGIG4097	15
Genus	g__RGIG4103	3
Genus	g__RGIG4130	2
Genus	g__RGIG4131	8
Genus	g__RGIG4140	23
Genus	g__RGIG423	9
Genus	g__RGIG426	20
Genus	g__RGIG4266	1
Genus	g__RGIG4284	1
Genus	g__RGIG446	4
Genus	g__RGIG4576	12
Genus	g__RGIG4607	2
Genus	g__RGIG4608	31
Genus	g__RGIG464	3
Genus	g__RGIG4708	2
Genus	g__RGIG4729	1
Genus	g__RGIG4790	2
Genus	g__RGIG4930	1
Genus	g__RGIG5050	1
Genus	g__RGIG5270	12
Genus	g__RGIG5299	4
Genus	g__RGIG5327	3
Genus	g__RGIG5472	3
Genus	g__RGIG5474	7
Genus	g__RGIG5495	4
Genus	g__RGIG5579	46
Genus	g__RGIG5612	37
Genus	g__RGIG5709	1
Genus	g__RGIG5755	7
Genus	g__RGIG6098	1
Genus	g__RGIG6154	10
Genus	g__RGIG6165	6
Genus	g__RGIG6178	4
Genus	g__RGIG6291	2
Genus	g__RGIG6307	28
Genus	g__RGIG6353	35
Genus	g__RGIG6374	2
Genus	g__RGIG6375	3
Genus	g__RGIG6429	4
Genus	g__RGIG6449	1
Genus	g__RGIG6452	1
Genus	g__RGIG6463	1
Genus	g__RGIG6639	2
Genus	g__RGIG6720	1
Genus	g__RGIG6816	1
Genus	g__RGIG6919	4
Genus	g__RGIG7041	1
Genus	g__RGIG7089	7
Genus	g__RGIG7107	2
Genus	g__RGIG7114	25
Genus	g__RGIG7150	1
Genus	g__RGIG7179	8
Genus	g__RGIG7193	6
Genus	g__RGIG7213	12
Genus	g__RGIG7238	8
Genus	g__RGIG7265	1
Genus	g__RGIG7273	8
Genus	g__RGIG7300	20
Genus	g__RGIG7332	12
Genus	g__RGIG7378	5
Genus	g__RGIG7384	6
Genus	g__RGIG7389	1
Genus	g__RGIG7444	2
Genus	g__RGIG7450	14
Genus	g__RGIG7773	1
Genus	g__RGIG7931	1
Genus	g__RGIG7949	2
Genus	g__RGIG8002	2
Genus	g__RGIG8050	13
Genus	g__RGIG8244	5
Genus	g__RGIG8306	3
Genus	g__RGIG8367	2
Genus	g__RGIG8386	1
Genus	g__RGIG8399	2
Genus	g__RGIG8497	3
Genus	g__RGIG8523	4
Genus	g__RGIG8597	3
Genus	g__RGIG8607	2
Genus	g__RGIG8700	8
Genus	g__RGIG8709	5
Genus	g__RGIG8745	7
Genus	g__RGIG8748	44
Genus	g__RGIG8767	10
Genus	g__RGIG8773	14
Genus	g__RGIG8775	33
Genus	g__RGIG8779	1
Genus	g__RGIG8785	3
