SGB_ID,MAGs_in_SGB,Yak_MAGs,Antelope_MAGs,Ass_MAGs,Cattle_MAGs,Horse_MAGs,Sheep_MAGs,Representative_genome,Quality,Completeness,Contamination,Quality_Score,tRNAs_number,tRNAs_decoding_Standard_20_AA,5S_rRNA_num,16S_rRNA_num,23S_rRNA_num,GTDB_domain,GTDB_phylum
SGB_286,8,0,0,0,0,0,8,T1900044659_TS20190125_bin.328.fa,Medium,88.86,0.84,84.66,45,20,1,0,0,d__Bacteria,p__Bacteroidota
SGB_287,5,2,0,0,1,0,2,T1900044661_TS20190127_bin.344.fa,Medium,81.24,1.45,73.99,35,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_288,1,0,0,0,0,0,1,T1900044665_TS20190131_bin.20.fa,Medium,51.99,0.37,50.14,31,15,1,0,0,d__Bacteria,p__Bacteroidota
SGB_289,9,0,0,0,0,0,9,T1900044682_TS20190148_bin.171.fa,Medium,89.27,0.37,87.42,35,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_290,48,0,0,0,0,0,48,T1900044696_TS20190162_bin.285.fa,Medium,87.25,1.12,81.65,34,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_291,1,0,0,0,0,0,1,T1900044696_TS20190162_bin.307.fa,Medium,87.94,1.02,82.84,38,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_292,97,0,34,0,0,0,63,TP20200825-WDL7_DT2009055593-1_bin.28.fa,High,92.43,0.74,88.73,53,18,3,0,0,d__Bacteria,p__Bacteroidota
SGB_293,26,0,0,0,0,0,26,T1900044740_TS20190206_bin.56.fa,Medium,83.08,1.12,77.48,28,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_294,3,0,0,0,0,0,3,T1900044748_TS20190414_bin.259.fa,Medium,88.28,2.77,74.43,39,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_295,1,0,0,0,0,0,1,T1900044757_TS20190223_bin.252.fa,Medium,93.23,7.39,56.28,48,20,6,1,1,d__Bacteria,p__Bacteroidota
SGB_296,14,0,0,0,0,0,14,T1900044778_TS20190244_bin.96.fa,Medium,89.64,1.14,83.94,36,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_297,5,0,0,0,0,0,5,T1900044792_TS20190258_bin.26.fa,Medium,89.56,2.11,79.01,37,17,1,0,0,d__Bacteria,p__Bacteroidota
SGB_298,95,3,32,0,3,0,57,TP20200812-DBC22_DT2009055245-1_bin.35.fa,High,92.77,0.02,92.67,43,20,1,1,0,d__Bacteria,p__Bacteroidota
SGB_299,16,0,0,0,0,0,16,T1900044809_TS20190275_bin.60.fa,Medium,85.73,0.56,82.93,31,16,2,1,0,d__Bacteria,p__Bacteroidota
SGB_300,13,0,1,0,0,0,12,T1900044826_TS20190292_bin.152.fa,Medium,86.31,1.71,77.76,37,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_301,7,0,0,0,0,0,7,T1900044833_TS20190299_bin.224.fa,Medium,89.44,0.56,86.64,39,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_302,3,0,0,0,0,0,3,T1900044835_TS20190301_bin.37.fa,Medium,88.08,4.17,67.23,38,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_303,39,5,1,0,4,0,29,T1900044841_TS20190307_bin.265.fa,Medium,89.47,0.91,84.92,36,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_304,2,0,0,0,0,0,2,T1900044851_TS20190317_bin.246.fa,Medium,75.58,1.72,66.98,33,18,1,1,0,d__Bacteria,p__Bacteroidota
SGB_305,4,0,0,0,0,0,4,T1900044859_TS20190325_bin.97.fa,Medium,79.28,0.02,79.18,43,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_306,2,0,0,0,0,0,2,T1900044916_TS20190382_bin.323.fa,Medium,89.93,3.39,72.98,38,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_307,4,1,0,0,2,0,1,T1900044924_TS20190390_bin.80.fa,Medium,80.08,2.03,69.93,22,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_308,1,0,0,1,0,0,0,T1900044949_TA20190002_bin.198.fa,Medium,89.19,7.67,50.84,45,17,4,0,0,d__Bacteria,p__Bacteroidota
SGB_309,1,0,0,1,0,0,0,T1900044949_TA20190002_bin.407.fa,Medium,95.23,5.27,68.88,42,19,3,0,0,d__Bacteria,p__Bacteroidota
SGB_310,3,0,0,3,0,0,0,T1900044950_TA20190003_bin.17.fa,Medium,89.82,3.52,72.22,42,18,2,0,0,d__Bacteria,p__Bacteroidota
SGB_311,1,0,0,1,0,0,0,T1900044950_TA20190003_bin.333.fa,Medium,88.63,7.05,53.38,49,17,4,1,0,d__Bacteria,p__Bacteroidota
SGB_312,5,0,0,5,0,0,0,T1900044958_TA20190014_bin.191.fa,Medium,85.65,0.57,82.8,37,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_313,2,0,0,2,0,0,0,T1900044959_TA20190016_bin.182.fa,Medium,94.93,5.41,67.88,50,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_314,3,0,0,3,0,0,0,T1900044960_TA20190018_bin.194.fa,Medium,86.84,0.91,82.29,46,19,2,0,0,d__Bacteria,p__Bacteroidota
SGB_315,1,0,0,1,0,0,0,T1900044962_TA20190024_bin.298.fa,Medium,84.09,4.89,59.64,38,19,0,1,0,d__Bacteria,p__Bacteroidota
SGB_316,8,0,0,8,0,0,0,T1900044962_TA20190024_bin.67.fa,Medium,85.34,0.4,83.34,33,17,2,0,0,d__Bacteria,p__Bacteroidota
SGB_317,1,0,0,1,0,0,0,T1900044981_TA20190043_bin.34.fa,Medium,95.24,8.58,52.34,45,17,3,0,1,d__Bacteria,p__Bacteroidota
SGB_318,1,0,0,1,0,0,0,T1900044987_TA20190049_bin.155.fa,Medium,72.24,4.31,50.69,20,13,0,0,0,d__Bacteria,p__Bacteroidota
SGB_319,11,0,0,11,0,0,0,T1900044988_TA20190050_bin.42.fa,Medium,74.14,0.86,69.84,34,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_320,2,0,0,2,0,0,0,T1900044999_TA20190061_bin.232.fa,Medium,84.55,2.11,74,33,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_321,4,0,0,4,0,0,0,T1900045000_TA20190062_bin.267.fa,Medium,89.73,1.16,83.93,36,19,2,0,0,d__Bacteria,p__Bacteroidota
SGB_322,11,0,0,11,0,0,0,T1900045004_TA20190066_bin.311.fa,Medium,89.18,0.37,87.33,38,19,1,0,0,d__Bacteria,p__Bacteroidota
SGB_323,2,0,0,0,2,0,0,T1900045013_TC20190006_bin.102.fa,Medium,93.55,5.85,64.3,42,19,0,1,0,d__Bacteria,p__Bacteroidota
SGB_324,9,3,0,0,6,0,0,T1900045025_TC20190018_bin.200.fa,Medium,79.61,0.99,74.66,38,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_325,4,0,0,0,4,0,0,T1900045029_TC20190022_bin.108.fa,Medium,85.39,2.2,74.39,42,14,2,0,0,d__Bacteria,p__Bacteroidota
SGB_326,14,8,0,0,6,0,0,T1900045030_TC20190023_bin.176.fa,Medium,76.18,0,76.18,39,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_327,46,0,0,0,17,0,29,T1900045034_TC20190027_bin.34.fa,Medium,87.97,1.12,82.37,36,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_328,1,0,0,0,1,0,0,T1900045044_TC20190037_bin.257.fa,Medium,69.45,3.33,52.8,13,11,0,0,0,d__Bacteria,p__Bacteroidota
SGB_329,1,0,0,0,1,0,0,T1900045064_TC20190058_bin.248.fa,Medium,61.24,1.76,52.44,20,11,1,0,0,d__Bacteria,p__Bacteroidota
SGB_330,7,2,0,0,5,0,0,T1900045076_TC20190070_bin.62.fa,Medium,69.47,0,69.47,34,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_331,38,14,0,0,24,0,0,T1900045083_TC20190077_bin.20.fa,Medium,87.25,0.37,85.4,38,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_332,12,7,1,0,4,0,0,T1900045094_TC20190088_bin.296.fa,Medium,82.76,0,82.76,31,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_333,2,0,0,0,2,0,0,T1900045094_TC20190088_bin.306.fa,Medium,88.71,3.38,71.81,30,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_334,1,0,0,0,1,0,0,T1900045115_TC20190109_bin.130.fa,Medium,59.64,1.72,51.04,31,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_335,1,0,0,0,1,0,0,T1900045120_TC20190114_bin.212.fa,Medium,79.52,4.72,55.92,22,13,1,0,0,d__Bacteria,p__Bacteroidota
SGB_336,2,1,0,0,1,0,0,T1900045121_TC20190115_bin.59.fa,Medium,72.73,1.72,64.13,27,14,2,0,0,d__Bacteria,p__Bacteroidota
SGB_337,1,0,0,0,1,0,0,T1900045124_TC20190118_bin.194.fa,Medium,71.55,4.31,50,45,16,2,1,0,d__Bacteria,p__Bacteroidota
SGB_338,2,0,0,0,2,0,0,T1900045129_TC20190123_bin.175.fa,Medium,71.55,3.45,54.3,37,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_339,1,0,0,0,1,0,0,T1900045138_TC20190132_bin.106.fa,Medium,52.76,0,52.76,23,12,1,0,0,d__Bacteria,p__Bacteroidota
SGB_340,1,0,0,0,1,0,0,T1900045157_TC20190151_bin.170.fa,Medium,52.59,0,52.59,21,13,0,0,0,d__Bacteria,p__Bacteroidota
SGB_341,1,0,0,0,1,0,0,T1900045158_TC20190152_bin.21.fa,Medium,78.65,0.32,77.05,44,19,3,0,0,d__Bacteria,p__Bacteroidota
SGB_342,1,0,0,0,1,0,0,T1900045164_TC20190158_bin.57.fa,Medium,69.47,3.45,52.22,29,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_343,6,2,0,0,4,0,0,T1900045165_TC20190159_bin.1.fa,Medium,82.17,3.23,66.02,25,14,0,0,0,d__Bacteria,p__Bacteroidota
SGB_344,1,0,0,0,1,0,0,T1900045167_TC20190161_bin.359.fa,Medium,61.68,0,61.68,33,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_345,35,0,0,0,35,0,0,T1900045168_TC20190162_bin.160.fa,Medium,88.89,2.26,77.59,45,17,3,0,0,d__Bacteria,p__Bacteroidota
SGB_346,20,15,0,0,5,0,0,T1900045171_TC20190165_bin.212.fa,Medium,87.26,1.22,81.16,56,19,2,0,0,d__Bacteria,p__Bacteroidota
SGB_347,2,0,0,0,2,0,0,T1900045171_TC20190165_bin.74.fa,Medium,88.23,4.33,66.58,28,15,3,0,0,d__Bacteria,p__Bacteroidota
SGB_348,3,0,0,0,3,0,0,T1900045178_TC20190174_bin.217.fa,Medium,74.37,1.72,65.77,35,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_349,2,0,0,0,2,0,0,T1900045178_TC20190174_bin.248.fa,Medium,73.78,1.72,65.18,34,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_350,1,0,0,0,1,0,0,T1900045183_TC20190179_bin.245.fa,Medium,84.06,1.78,75.16,31,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_351,2,1,0,0,1,0,0,T1900045184_TC20190180_bin.235.fa,Medium,71.66,0.47,69.31,29,15,3,0,0,d__Bacteria,p__Bacteroidota
SGB_352,2,0,0,0,2,0,0,T1900045184_TC20190180_bin.261.fa,Medium,86.67,2.08,76.27,41,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_353,2,0,0,0,0,2,0,T1900045235_TH20190005_bin.207.fa,Medium,75.6,4.13,54.95,33,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_354,2,0,0,0,0,2,0,T1900045240_TH20190010_bin.320.fa,Medium,80.37,1.91,70.82,35,17,3,1,0,d__Bacteria,p__Bacteroidota
SGB_355,5,0,0,0,0,5,0,T1900045246_TH20190016_bin.523.fa,Medium,85.26,3.44,68.06,36,18,2,0,0,d__Bacteria,p__Bacteroidota
SGB_356,2,0,0,0,0,2,0,T1900045248_TH20190018_bin.203.fa,Medium,83.09,2.35,71.34,31,15,2,0,0,d__Bacteria,p__Bacteroidota
SGB_357,1,0,0,0,0,1,0,T1900045248_TH20190018_bin.508.fa,Medium,68.93,2.45,56.68,19,12,0,1,0,d__Bacteria,p__Bacteroidota
SGB_358,1,0,0,0,0,1,0,T1900045249_TH20190019_bin.606.fa,Medium,63.75,1.88,54.35,35,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_359,1,0,0,0,0,1,0,T1900045250_TH20190020_bin.665.fa,Medium,70.5,3.06,55.2,36,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_360,5,0,0,0,0,5,0,T1900045257_TH20190027_bin.102.fa,Medium,64.23,0,64.23,34,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_361,5,0,0,0,0,5,0,T1900045283_TH20190053_bin.41.fa,Medium,89.17,3.68,70.77,55,18,1,1,0,d__Bacteria,p__Bacteroidota
SGB_362,5,0,0,0,0,5,0,T1900045287_TH20190057_bin.302.fa,Medium,81.89,3.27,65.54,39,18,2,0,0,d__Bacteria,p__Bacteroidota
SGB_363,1,0,0,0,0,1,0,T1900045293_TH20190063_bin.260.fa,Medium,81.59,3.76,62.79,37,17,1,1,0,d__Bacteria,p__Bacteroidota
SGB_364,4,0,0,0,0,4,0,T1900045295_TH20190065_bin.39.fa,Medium,89.82,1.12,84.22,35,18,2,0,0,d__Bacteria,p__Bacteroidota
SGB_365,2,0,0,0,0,2,0,T1900045301_TH20190071_bin.199.fa,Medium,84.66,2.99,69.71,37,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_366,1,0,0,0,0,1,0,T1900045301_TH20190071_bin.236.fa,Medium,83.61,4.89,59.16,36,17,3,0,0,d__Bacteria,p__Bacteroidota
SGB_367,13,0,0,0,0,13,0,T1900045305_TH20190075_bin.58.fa,Medium,88.9,2.06,78.6,32,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_368,9,7,0,0,2,0,0,T1900045320_YK20190009_bin.211.fa,Medium,86.84,2.79,72.89,38,17,1,0,0,d__Bacteria,p__Bacteroidota
SGB_369,36,30,0,0,6,0,0,T1900045323_YK20190012_bin.191.fa,Medium,88,0.74,84.3,40,20,1,1,0,d__Bacteria,p__Bacteroidota
SGB_370,81,15,13,0,7,0,46,TP20200814-DZC92_DT2009055420-1_bin.38.fa,High,90.98,0.74,87.28,41,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_371,8,4,0,0,4,0,0,T1900045341_YK20190031_bin.3.fa,Medium,89.44,1.95,79.69,34,16,2,0,0,d__Bacteria,p__Bacteroidota
SGB_372,240,70,32,0,17,0,121,T1900045341_YK20190031_bin.76.fa,Medium,89,0.74,85.3,38,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_373,8,6,0,0,2,0,0,T1900045349_YK20190039_bin.40.fa,Medium,87.13,2.04,76.93,41,17,2,0,0,d__Bacteria,p__Bacteroidota
SGB_374,9,8,0,0,1,0,0,T1900045352_YK20190042_bin.270.fa,Medium,89.51,2.01,79.46,40,17,4,0,0,d__Bacteria,p__Bacteroidota
SGB_375,79,52,0,0,27,0,0,T1900045352_YK20190042_bin.303.fa,Medium,87.59,1.12,81.99,49,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_376,1,1,0,0,0,0,0,T1900045355_YK20190045_bin.135.fa,Medium,91.78,7.8,52.78,42,16,4,2,1,d__Bacteria,p__Bacteroidota
SGB_377,1,1,0,0,0,0,0,T1900045399_YK20190089_bin.160.fa,Medium,50.34,0,50.34,32,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_378,7,7,0,0,0,0,0,T1900045408_YK20190098_bin.192.fa,Medium,87.46,3.38,70.56,35,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_379,8,6,0,0,2,0,0,T1900045417_YK20190107_bin.154.fa,Medium,88.03,1.12,82.43,39,19,1,0,0,d__Bacteria,p__Bacteroidota
SGB_380,2,1,0,0,1,0,0,T1900045420_YK20190110_bin.188.fa,Medium,89.9,3.27,73.55,46,17,3,0,0,d__Bacteria,p__Bacteroidota
SGB_381,16,9,0,0,7,0,0,T1900045422_YK20190112_bin.87.fa,Medium,87.97,1.67,79.62,38,19,1,0,0,d__Bacteria,p__Bacteroidota
SGB_382,7,7,0,0,0,0,0,T1900045429_YK20190120_bin.239.fa,Medium,83.62,2.82,69.52,45,17,1,0,0,d__Bacteria,p__Bacteroidota
SGB_383,5,5,0,0,0,0,0,T1900045442_YK20190133_bin.189.fa,Medium,70.17,0,70.17,31,16,4,0,0,d__Bacteria,p__Bacteroidota
SGB_384,78,56,0,0,22,0,0,T1900045450_YK20190141_bin.102.fa,Medium,77.85,0,77.85,43,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_385,14,8,0,0,6,0,0,T1900045455_YK20190146_bin.173.fa,Medium,82.65,0.56,79.85,51,18,4,0,0,d__Bacteria,p__Bacteroidota
SGB_386,16,5,0,0,11,0,0,T1900045480_YK20190174_bin.17.fa,Medium,86.15,2.58,73.25,37,18,2,0,0,d__Bacteria,p__Bacteroidota
SGB_387,13,13,0,0,0,0,0,T1900045481_YK20190175_bin.194.fa,Medium,86.22,0.56,83.42,40,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_388,31,19,0,0,12,0,0,T1900045486_YK20190180_bin.207.fa,Medium,87.33,1.58,79.43,45,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_389,5,5,0,0,0,0,0,T1900045490_YK20190184_bin.130.fa,Medium,68.1,0.86,63.8,33,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_390,6,6,0,0,0,0,0,T1900045494_YK20190188_bin.381.fa,Medium,83.92,2.17,73.07,33,17,3,0,0,d__Bacteria,p__Bacteroidota
SGB_391,1,1,0,0,0,0,0,T1900045495_YK20190189_bin.99.fa,Medium,80.49,6.03,50.34,49,16,3,1,0,d__Bacteria,p__Bacteroidota
SGB_392,25,15,0,0,10,0,0,T1900045498_YK20190192_bin.143.fa,Medium,89.82,0.54,87.12,40,18,3,0,0,d__Bacteria,p__Bacteroidota
SGB_393,8,7,0,0,1,0,0,T1900045500_YK20190194_bin.270.fa,Medium,84.69,2.23,73.54,39,17,1,0,0,d__Bacteria,p__Bacteroidota
SGB_394,30,20,0,0,10,0,0,T1900045511_YK20190205_bin.158.fa,Medium,87.96,0.65,84.71,35,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_395,79,48,0,0,31,0,0,T1900045515_YK20190209_bin.157.fa,High,90.75,0.76,86.95,43,20,2,0,0,d__Bacteria,p__Bacteroidota
SGB_396,18,16,0,0,2,0,0,T1900045518_YK20190212_bin.27.fa,Medium,79.11,0.86,74.81,41,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_397,4,4,0,0,0,0,0,T1900045527_YK20190221_bin.43.fa,Medium,86.38,4.52,63.78,46,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_398,2,1,0,0,1,0,0,T1900045535_YK20190229_bin.46.fa,Medium,92.79,5.51,65.24,43,17,0,1,0,d__Bacteria,p__Bacteroidota
SGB_399,4,4,0,0,0,0,0,T1900045548_YK20190242_bin.39.fa,Medium,67.4,0,67.4,33,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_400,6,4,0,0,2,0,0,T1900045548_YK20190242_bin.4.fa,Medium,89.9,2.42,77.8,41,19,0,0,0,d__Bacteria,p__Bacteroidota
SGB_401,11,11,0,0,0,0,0,T1900045548_YK20190242_bin.62.fa,Medium,59.05,0.74,55.35,38,16,4,0,0,d__Bacteria,p__Bacteroidota
SGB_402,1,1,0,0,0,0,0,T1900045552_YK20190246_bin.60.fa,Medium,86.48,4.91,61.93,53,18,5,0,0,d__Bacteria,p__Bacteroidota
SGB_403,5,4,0,0,1,0,0,T1900045554_YK20190248_bin.52.fa,Medium,84.37,3.44,67.17,39,17,2,0,0,d__Bacteria,p__Bacteroidota
SGB_404,6,4,0,0,2,0,0,T1900045560_YK20190254_bin.203.fa,Medium,84.57,2.56,71.77,29,17,2,0,0,d__Bacteria,p__Bacteroidota
SGB_405,2,2,0,0,0,0,0,T1900045565_YK20190259_bin.360.fa,Medium,88.38,2.35,76.63,36,16,2,0,0,d__Bacteria,p__Bacteroidota
SGB_406,3,1,1,0,1,0,0,T1900045567_YK20190261_bin.18.fa,Medium,84.99,1.73,76.34,43,18,2,0,0,d__Bacteria,p__Bacteroidota
SGB_407,18,14,0,0,4,0,0,T1900045567_YK20190261_bin.30.fa,Medium,85.35,2.35,73.6,42,17,2,0,0,d__Bacteria,p__Bacteroidota
SGB_408,1,1,0,0,0,0,0,T1900045568_YK20190262_bin.278.fa,Medium,89.1,0,89.1,51,18,4,0,0,d__Bacteria,p__Bacteroidota
SGB_409,23,14,0,0,9,0,0,T1900045569_YK20190263_bin.124.fa,Medium,87.85,0.93,83.2,46,19,1,0,0,d__Bacteria,p__Bacteroidota
SGB_410,22,17,0,0,5,0,0,T1900045632_YK20190326_bin.130.fa,Medium,85.23,1.49,77.78,31,17,0,0,0,d__Bacteria,p__Bacteroidota
SGB_411,7,6,0,0,1,0,0,T1900045645_YK20190339_bin.168.fa,Medium,86.97,1.24,80.77,41,17,1,0,0,d__Bacteria,p__Bacteroidota
SGB_412,39,19,0,0,2,0,18,T1900045650_YK20190344_bin.190.fa,Medium,89.49,0.77,85.64,46,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_413,77,0,19,0,0,0,58,TP20200815-DZC38_DT2009055508-1_bin.280.fa,High,91.6,0.39,89.65,42,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_414,18,8,0,0,10,0,0,T1900045668_YK20190362_bin.1.fa,Medium,86.93,0.46,84.63,29,15,0,0,0,d__Bacteria,p__Bacteroidota
SGB_415,2,2,0,0,0,0,0,T1900045673_YK20190367_bin.190.fa,Medium,76.21,0,76.21,34,16,1,0,0,d__Bacteria,p__Bacteroidota
SGB_416,13,6,0,0,7,0,0,T1900045693_YK20190387_bin.27.fa,Medium,86.32,0.98,81.42,35,16,2,1,0,d__Bacteria,p__Bacteroidota
SGB_417,21,12,0,0,9,0,0,T1900045700_YK20190394_bin.25.fa,Medium,89.02,1.54,81.32,39,16,2,0,0,d__Bacteria,p__Bacteroidota
SGB_418,11,6,0,0,5,0,0,T1900045705_YK20190399_bin.54.fa,Medium,88.77,1.86,79.47,29,16,0,0,0,d__Bacteria,p__Bacteroidota
SGB_419,7,4,0,0,3,0,0,T1900045707_YK20190401_bin.95.fa,Medium,85.37,1.3,78.87,40,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_420,5,4,0,0,1,0,0,T1900045717_YK20190411_bin.298.fa,Medium,65.67,1.72,57.07,30,15,1,0,0,d__Bacteria,p__Bacteroidota
SGB_421,1,0,0,0,1,0,0,T1900045774_TC20190228_bin.55.fa,Medium,75.36,0.74,71.66,29,17,3,2,0,d__Bacteria,p__Bacteroidota
SGB_422,1,1,0,0,0,0,0,T2001009370_Yak-NA_bin.282.fa,Medium,57.06,0.37,55.21,25,14,2,1,0,d__Bacteria,p__Bacteroidota
SGB_423,72,2,37,0,1,0,32,TP20200812-DBC85_DT2009055308-1_bin.45.fa,High,93.49,0.76,89.69,35,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_424,3,0,3,0,0,0,0,TP20200812-DBC39_DT2009055262-1_bin.76.fa,Medium,81.57,1.24,75.37,38,17,3,0,0,d__Bacteria,p__Bacteroidota
SGB_425,29,1,1,0,0,0,27,TP20200812-DBC51_DT2009055274-1_bin.329.fa,Medium,85.96,0.43,83.81,40,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_426,6,0,6,0,0,0,0,TP20200812-DBC60_DT2009055283-1_bin.195.fa,Medium,85.18,1.05,79.93,56,19,1,0,0,d__Bacteria,p__Bacteroidota
SGB_427,24,0,24,0,0,0,0,TP20200812-DBC75_DT2009055298-1_bin.208.fa,Medium,89.57,0.2,88.57,47,20,1,0,0,d__Bacteria,p__Bacteroidota
SGB_428,70,0,35,0,0,0,35,TP20200815-DZC68_DT2009055538-1_bin.23.fa,High,94.75,0.28,93.35,47,19,1,0,0,d__Bacteria,p__Bacteroidota
SGB_429,3,0,1,0,0,0,2,TP20200812-DBC93_DT2009055316-1_bin.150.fa,Medium,81.81,2.15,71.06,36,17,1,0,0,d__Bacteria,p__Bacteroidota
SGB_430,14,0,1,0,0,0,13,TP20200814-DZC13_DT2009055341-1_bin.134.fa,Medium,78.09,0,78.09,32,14,0,0,0,d__Bacteria,p__Bacteroidota
SGB_431,69,0,18,0,0,0,51,TP20200815-DZC9_DT2009055479-1_bin.107.fa,High,90.57,0.81,86.52,38,16,2,0,0,d__Bacteria,p__Bacteroidota
SGB_432,11,0,0,0,0,0,11,TP20200814-DZC4_DT2009055332-1_bin.217.fa,Medium,88.6,0.49,86.15,35,16,2,0,1,d__Bacteria,p__Bacteroidota
SGB_433,67,0,26,0,0,0,41,T1900044644_TS20190110_bin.56.fa,High,93.36,0.76,89.56,45,20,1,1,0,d__Bacteria,p__Bacteroidota
SGB_434,20,0,9,0,0,0,11,TP20200815-DZC26_DT2009055496-1_bin.11.fa,Medium,89.88,0.93,85.23,38,16,0,0,0,d__Bacteria,p__Bacteroidota
