BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044949_TA20190002_bin.131.fa.c00050_T190004...region001, T1900044949_TA20190002_bin.131_T1900044949_TA20190002_bin.131_contig_000050,NRPS,NRPS
T1900044949_TA20190002_bin.131.fa.c00087_T190004...region001, T1900044949_TA20190002_bin.131_T1900044949_TA20190002_bin.131_contig_000087,betalactone,Others
T1900044949_TA20190002_bin.131.fa.c00098_T190004...region001, T1900044949_TA20190002_bin.131_T1900044949_TA20190002_bin.131_contig_000098,arylpolyene,Others
T1900044949_TA20190002_bin.135.fa.c00069_T190004...region001, T1900044949_TA20190002_bin.135_T1900044949_TA20190002_bin.135_contig_000069,RRE-containing,RiPPs
T1900044949_TA20190002_bin.140.fa.c00020_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000020,RRE-containing,RiPPs
T1900044949_TA20190002_bin.140.fa.c00023_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000023,betalactone,Others
T1900044949_TA20190002_bin.140.fa.c00051_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000051,arylpolyene,Others
T1900044949_TA20190002_bin.140.fa.c00056_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000056,RRE-containing,RiPPs
T1900044949_TA20190002_bin.140.fa.c00063_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000063,arylpolyene,Others
T1900044949_TA20190002_bin.140.fa.c00073_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000073,resorcinol,Others
T1900044949_TA20190002_bin.140.fa.c00128_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000128,arylpolyene,Others
T1900044949_TA20190002_bin.150.fa.c00408_T190004...region001, T1900044949_TA20190002_bin.150_T1900044949_TA20190002_bin.150_contig_000408,ranthipeptide,RiPPs
T1900044949_TA20190002_bin.153.fa.c00036_T190004...region001, T1900044949_TA20190002_bin.153_T1900044949_TA20190002_bin.153_contig_000036,NRPS,NRPS
T1900044949_TA20190002_bin.163.fa.c00011_T190004...region001, T1900044949_TA20190002_bin.163_T1900044949_TA20190002_bin.163_contig_000011,arylpolyene,Others
T1900044949_TA20190002_bin.163.fa.c00033_T190004...region001, T1900044949_TA20190002_bin.163_T1900044949_TA20190002_bin.163_contig_000033,RRE-containing,RiPPs
T1900044949_TA20190002_bin.163.fa.c00076_T190004...region001, T1900044949_TA20190002_bin.163_T1900044949_TA20190002_bin.163_contig_000076,arylpolyene,Others
T1900044949_TA20190002_bin.166.fa.c00184_T190004...region001, T1900044949_TA20190002_bin.166_T1900044949_TA20190002_bin.166_contig_000184,betalactone,Others
T1900044949_TA20190002_bin.166.fa.c00185_T190004...region001, T1900044949_TA20190002_bin.166_T1900044949_TA20190002_bin.166_contig_000185,RRE-containing,RiPPs
T1900044949_TA20190002_bin.166.fa.c00244_T190004...region001, T1900044949_TA20190002_bin.166_T1900044949_TA20190002_bin.166_contig_000244,RRE-containing,RiPPs
T1900044949_TA20190002_bin.166.fa.c00342_T190004...region001, T1900044949_TA20190002_bin.166_T1900044949_TA20190002_bin.166_contig_000342,RRE-containing,RiPPs
T1900044949_TA20190002_bin.172.fa.c00111_T190004...region001, T1900044949_TA20190002_bin.172_T1900044949_TA20190002_bin.172_contig_000111,NRPS-like,NRPS
T1900044949_TA20190002_bin.176.fa.c00018_T190004...region001, T1900044949_TA20190002_bin.176_T1900044949_TA20190002_bin.176_contig_000018,RRE-containing,RiPPs
T1900044949_TA20190002_bin.176.fa.c00027_T190004...region001, T1900044949_TA20190002_bin.176_T1900044949_TA20190002_bin.176_contig_000027,betalactone,Others
T1900044949_TA20190002_bin.177.fa.c00008_T190004...region001, T1900044949_TA20190002_bin.177_T1900044949_TA20190002_bin.177_contig_000008,terpene,Terpene
T1900044949_TA20190002_bin.179.fa.c00061_T190004...region001, T1900044949_TA20190002_bin.179_T1900044949_TA20190002_bin.179_contig_000061,NRPS-like,NRPS
T1900044949_TA20190002_bin.181.fa.c00047_T190004...region001, T1900044949_TA20190002_bin.181_T1900044949_TA20190002_bin.181_contig_000047,NRPS,NRPS
T1900044949_TA20190002_bin.181.fa.c00072_T190004...region001, T1900044949_TA20190002_bin.181_T1900044949_TA20190002_bin.181_contig_000072,NRPS-like,NRPS
T1900044949_TA20190002_bin.181.fa.c00282_T190004...region001, T1900044949_TA20190002_bin.181_T1900044949_TA20190002_bin.181_contig_000282,RRE-containing,RiPPs
T1900044949_TA20190002_bin.2.fa.c00138_T190004...region001, T1900044949_TA20190002_bin.2_T1900044949_TA20190002_bin.2_contig_000138,NRPS-like,NRPS
T1900044949_TA20190002_bin.200.fa.c00003_T190004...region001, T1900044949_TA20190002_bin.200_T1900044949_TA20190002_bin.200_contig_000003,NRPS-like,NRPS
T1900044949_TA20190002_bin.200.fa.c00007_T190004...region001, T1900044949_TA20190002_bin.200_T1900044949_TA20190002_bin.200_contig_000007,arylpolyene,Others
T1900044949_TA20190002_bin.200.fa.c00024_T190004...region001, T1900044949_TA20190002_bin.200_T1900044949_TA20190002_bin.200_contig_000024,arylpolyene,Others
T1900044949_TA20190002_bin.200.fa.c00032_T190004...region001, T1900044949_TA20190002_bin.200_T1900044949_TA20190002_bin.200_contig_000032,RRE-containing,RiPPs
T1900044949_TA20190002_bin.203.fa.c00032_T190004...region001, T1900044949_TA20190002_bin.203_T1900044949_TA20190002_bin.203_contig_000032,RRE-containing,RiPPs
T1900044949_TA20190002_bin.203.fa.c00074_T190004...region001, T1900044949_TA20190002_bin.203_T1900044949_TA20190002_bin.203_contig_000074,arylpolyene,Others
T1900044949_TA20190002_bin.203.fa.c00092_T190004...region001, T1900044949_TA20190002_bin.203_T1900044949_TA20190002_bin.203_contig_000092,arylpolyene,Others
T1900044949_TA20190002_bin.203.fa.c00130_T190004...region001, T1900044949_TA20190002_bin.203_T1900044949_TA20190002_bin.203_contig_000130,arylpolyene,Others
T1900044949_TA20190002_bin.204.fa.c00076_T190004...region001, T1900044949_TA20190002_bin.204_T1900044949_TA20190002_bin.204_contig_000076,NRPS,NRPS
T1900044949_TA20190002_bin.204.fa.c00128_T190004...region001, T1900044949_TA20190002_bin.204_T1900044949_TA20190002_bin.204_contig_000128,NRPS,NRPS
T1900044949_TA20190002_bin.223.fa.c00012_T190004...region001, T1900044949_TA20190002_bin.223_T1900044949_TA20190002_bin.223_contig_000012,NRPS-like,NRPS
T1900044949_TA20190002_bin.223.fa.c00039_T190004...region001, T1900044949_TA20190002_bin.223_T1900044949_TA20190002_bin.223_contig_000039,terpene,Terpene
T1900044949_TA20190002_bin.223.fa.c00064_T190004...region001, T1900044949_TA20190002_bin.223_T1900044949_TA20190002_bin.223_contig_000064,arylpolyene,Others
T1900044949_TA20190002_bin.223.fa.c00075_T190004...region001, T1900044949_TA20190002_bin.223_T1900044949_TA20190002_bin.223_contig_000075,arylpolyene,Others
T1900044949_TA20190002_bin.223.fa.c00076_T190004...region001, T1900044949_TA20190002_bin.223_T1900044949_TA20190002_bin.223_contig_000076,RRE-containing,RiPPs
T1900044949_TA20190002_bin.246.fa.c00212_T190004...region001, T1900044949_TA20190002_bin.246_T1900044949_TA20190002_bin.246_contig_000212,RRE-containing,RiPPs
T1900044949_TA20190002_bin.271.fa.c00102_T190004...region001, T1900044949_TA20190002_bin.271_T1900044949_TA20190002_bin.271_contig_000102,betalactone,Others
T1900044949_TA20190002_bin.271.fa.c00306_T190004...region001, T1900044949_TA20190002_bin.271_T1900044949_TA20190002_bin.271_contig_000306,NRPS,NRPS
T1900044949_TA20190002_bin.277.fa.c00040_T190004...region001, T1900044949_TA20190002_bin.277_T1900044949_TA20190002_bin.277_contig_000040,arylpolyene,Others
T1900044949_TA20190002_bin.29.fa.c00008_T190004...region001, T1900044949_TA20190002_bin.29_T1900044949_TA20190002_bin.29_contig_000008,NRPS,NRPS
T1900044949_TA20190002_bin.304.fa.c00150_T190004...region001, T1900044949_TA20190002_bin.304_T1900044949_TA20190002_bin.304_contig_000150,NRPS,NRPS
T1900044949_TA20190002_bin.304.fa.c00198_T190004...region001, T1900044949_TA20190002_bin.304_T1900044949_TA20190002_bin.304_contig_000198,NRPS,NRPS
T1900044949_TA20190002_bin.304.fa.c00379_T190004...region001, T1900044949_TA20190002_bin.304_T1900044949_TA20190002_bin.304_contig_000379,NRPS,NRPS
T1900044949_TA20190002_bin.304.fa.c00417_T190004...region001, T1900044949_TA20190002_bin.304_T1900044949_TA20190002_bin.304_contig_000417,RRE-containing,RiPPs
T1900044949_TA20190002_bin.311.fa.c00083_T190004...region001, T1900044949_TA20190002_bin.311_T1900044949_TA20190002_bin.311_contig_000083,RRE-containing,RiPPs
T1900044949_TA20190002_bin.326.fa.c00047_T190004...region001, T1900044949_TA20190002_bin.326_T1900044949_TA20190002_bin.326_contig_000047,betalactone,Others
T1900044949_TA20190002_bin.326.fa.c00048_T190004...region001, T1900044949_TA20190002_bin.326_T1900044949_TA20190002_bin.326_contig_000048,NRPS-like,NRPS
T1900044949_TA20190002_bin.328.fa.c00013_T190004...region001, T1900044949_TA20190002_bin.328_T1900044949_TA20190002_bin.328_contig_000013,arylpolyene,Others
T1900044949_TA20190002_bin.328.fa.c00034_T190004...region001, T1900044949_TA20190002_bin.328_T1900044949_TA20190002_bin.328_contig_000034,arylpolyene,Others
T1900044949_TA20190002_bin.340.fa.c00098_T190004...region001, T1900044949_TA20190002_bin.340_T1900044949_TA20190002_bin.340_contig_000098,ranthipeptide,RiPPs
T1900044949_TA20190002_bin.346.fa.c00082_T190004...region001, T1900044949_TA20190002_bin.346_T1900044949_TA20190002_bin.346_contig_000082,ranthipeptide,RiPPs
T1900044949_TA20190002_bin.378.fa.c00116_T190004...region001, T1900044949_TA20190002_bin.378_T1900044949_TA20190002_bin.378_contig_000116,RRE-containing,RiPPs
T1900044949_TA20190002_bin.379.fa.c00045_T190004...region001, T1900044949_TA20190002_bin.379_T1900044949_TA20190002_bin.379_contig_000045,ranthipeptide,RiPPs
T1900044949_TA20190002_bin.383.fa.c00009_T190004...region001, T1900044949_TA20190002_bin.383_T1900044949_TA20190002_bin.383_contig_000009,arylpolyene,Others
T1900044949_TA20190002_bin.383.fa.c00011_T190004...region001, T1900044949_TA20190002_bin.383_T1900044949_TA20190002_bin.383_contig_000011,RRE-containing,RiPPs
T1900044949_TA20190002_bin.383.fa.c00045_T190004...region001, T1900044949_TA20190002_bin.383_T1900044949_TA20190002_bin.383_contig_000045,NRPS-like,NRPS
T1900044949_TA20190002_bin.402.fa.c00060_T190004...region001, T1900044949_TA20190002_bin.402_T1900044949_TA20190002_bin.402_contig_000060,NRPS-like,NRPS
T1900044949_TA20190002_bin.402.fa.c00125_T190004...region001, T1900044949_TA20190002_bin.402_T1900044949_TA20190002_bin.402_contig_000125,NRPS-like.NRPS,NRPS
T1900044949_TA20190002_bin.402.fa.c00173_T190004...region001, T1900044949_TA20190002_bin.402_T1900044949_TA20190002_bin.402_contig_000173,NRPS,NRPS
T1900044949_TA20190002_bin.405.fa.c00055_T190004...region001, T1900044949_TA20190002_bin.405_T1900044949_TA20190002_bin.405_contig_000055,arylpolyene,Others
T1900044949_TA20190002_bin.406.fa.c00013_T190004...region001, T1900044949_TA20190002_bin.406_T1900044949_TA20190002_bin.406_contig_000013,NRPS,NRPS
T1900044949_TA20190002_bin.407.fa.c00033_T190004...region001, T1900044949_TA20190002_bin.407_T1900044949_TA20190002_bin.407_contig_000033,NRPS,NRPS
T1900044949_TA20190002_bin.407.fa.c00051_T190004...region001, T1900044949_TA20190002_bin.407_T1900044949_TA20190002_bin.407_contig_000051,NRPS-like,NRPS
T1900044949_TA20190002_bin.407.fa.c00074_T190004...region001, T1900044949_TA20190002_bin.407_T1900044949_TA20190002_bin.407_contig_000074,RRE-containing.NRPS-like,Others
T1900044949_TA20190002_bin.407.fa.c00087_T190004...region001, T1900044949_TA20190002_bin.407_T1900044949_TA20190002_bin.407_contig_000087,NRPS,NRPS
T1900044949_TA20190002_bin.407.fa.c00314_T190004...region001, T1900044949_TA20190002_bin.407_T1900044949_TA20190002_bin.407_contig_000314,RRE-containing,RiPPs
T1900044949_TA20190002_bin.55.fa.c00141_T190004...region001, T1900044949_TA20190002_bin.55_T1900044949_TA20190002_bin.55_contig_000141,betalactone,Others
